module,output,row,column,ra,dec
2,1,25,17,282.1189,45.1198
2,1,25,1106,283.1730,44.1797
2,1,535,550,282.0234,44.3086
2,1,1038,17,280.9000,44.4110
2,1,1038,1106,281.9606,43.4812
2,2,25,17,284.2032,43.2200
2,2,25,1106,283.1835,44.1701
2,2,535,550,283.0969,43.3389
2,2,1038,17,282.9992,42.5324
2,2,1038,1106,281.9712,43.4718
2,3,25,17,281.7181,41.7707
2,3,25,1106,280.6839,42.6982
2,3,535,550,281.8061,42.5824
2,3,1038,17,282.8943,42.4710
2,3,1038,1106,281.8662,43.4098
2,4,25,17,279.6081,43.6256
2,4,25,1106,280.6733,42.7075
2,4,535,550,280.7260,43.5402
2,4,1038,17,280.7950,44.3484
2,4,1038,1106,281.8556,43.4192
3,1,25,17,284.5551,42.8747
3,1,25,1106,285.5315,41.9123
3,1,535,550,284.4292,42.0659
3,1,1038,17,283.3511,42.1934
3,1,1038,1106,284.3350,41.2404
3,2,25,17,286.4874,40.9316
3,2,25,1106,285.5412,41.9025
3,2,535,550,285.4252,41.0735
3,2,1038,17,285.3000,40.2695
3,2,1038,1106,284.3448,41.2307
3,3,25,17,284.0387,39.5371
3,3,25,1106,283.0756,40.4871
3,3,535,550,284.1549,40.3465
3,3,1038,17,285.2015,40.2119
3,3,1038,1106,284.2454,41.1723
3,4,25,17,282.0755,41.4387
3,4,25,1106,283.0658,40.4967
3,4,535,550,283.1506,41.3278
3,4,1038,17,283.2509,42.1341
3,4,1038,1106,284.2356,41.1819
4,1,25,17,286.8221,40.5848
4,1,25,1106,287.7315,39.6036
4,1,535,550,286.6723,39.7786
4,1,1038,17,285.6355,39.9278
4,1,1038,1106,286.5529,38.9552
4,2,25,17,288.6236,38.6052
4,2,25,1106,287.7405,39.5937
4,2,535,550,287.6012,38.7671
4,2,1038,17,287.4541,37.9656
4,2,1038,1106,286.5620,38.9453
4,3,25,17,286.2050,37.2587
4,3,25,1106,285.3056,38.2284
4,3,535,550,286.3450,38.0651
4,3,1038,17,287.3531,37.9094
4,3,1038,1106,286.4612,38.8887
4,4,25,17,284.3733,39.2012
4,4,25,1106,285.2964,38.2382
4,4,535,550,285.4084,39.0671
4,4,1038,17,285.5351,39.8709
4,4,1038,1106,286.4521,38.8986
6,1,25,17,284.9869,47.2886
6,1,25,1106,283.5914,46.5553
6,1,535,550,283.7929,47.3774
6,1,1038,17,283.9772,48.1775
6,1,1038,1106,282.5713,47.4319
6,2,25,17,282.2194,45.7983
6,2,25,1106,283.5775,46.5478
6,2,535,550,282.3678,46.6059
6,2,1038,17,281.1915,46.6619
6,2,1038,1106,282.5573,47.4243
6,3,25,17,280.0365,47.5899
6,3,25,1106,281.4089,48.3661
6,3,535,550,281.2409,47.5401
6,3,1038,17,281.0998,46.7362
6,3,1038,1106,282.4664,47.4996
6,4,25,17,282.8385,49.1326
6,4,25,1106,281.4230,48.3739
6,4,535,550,282.6753,48.3255
6,4,1038,17,283.8874,48.2539
6,4,1038,1106,282.4804,47.5073
7,1,25,17,285.3535,46.8751
7,1,25,1106,286.3890,45.9076
7,1,535,550,285.2114,46.0669
7,1,1038,17,284.0586,46.1984
7,1,1038,1106,285.1038,45.2418
7,2,25,17,287.3980,44.9207
7,2,25,1106,286.3992,45.8977
7,2,535,550,286.2661,45.0694
7,2,1038,17,286.1242,44.2661
7,2,1038,1106,285.1142,45.2321
7,3,25,17,284.7724,43.5398
7,3,25,1106,283.7539,44.4937
7,3,535,550,284.9032,44.3485
7,3,1038,17,286.0169,44.2081
7,3,1038,1106,285.0073,45.1738
7,4,25,17,282.6915,45.4481
7,4,25,1106,283.7434,44.5033
7,4,535,550,283.8395,45.3341
7,4,1038,17,283.9524,46.1399
7,4,1038,1106,284.9970,45.1835
8,1,25,17,287.7499,44.5586
8,1,25,1106,288.7028,43.5700
8,1,535,550,287.5789,43.7537
8,1,1038,17,286.4777,43.9101
8,1,1038,1106,287.4411,42.9313
8,2,25,17,289.6335,42.5633
8,2,25,1106,288.7123,43.5600
8,2,535,550,288.5513,42.7348
8,2,1038,17,288.3834,41.9347
8,2,1038,1106,287.4506,42.9214
8,3,25,17,287.0528,41.2374
8,3,25,1106,286.1103,42.2128
8,3,535,550,287.2106,42.0429
8,3,1038,17,288.2769,41.8795
8,3,1038,1106,287.3440,42.8656
8,4,25,17,285.1291,43.1902
8,4,25,1106,286.1006,42.2226
8,4,535,550,286.2279,43.0508
8,4,1038,17,286.3710,43.8537
8,4,1038,1106,287.3344,42.8755
9,1,25,17,287.3773,40.8247
9,1,25,1106,288.6907,41.5094
9,1,535,550,288.4391,40.6977
9,1,1038,17,288.2154,39.9062
9,1,1038,1106,289.5202,40.5814
9,2,25,17,290.0459,42.1851
9,2,25,1106,288.7041,41.5163
9,2,535,550,289.8037,41.3912
9,2,1038,17,290.8648,41.2481
9,2,1038,1106,289.5335,40.5881
9,3,25,17,291.7279,40.2262
9,3,25,1106,290.4102,39.5748
9,3,535,550,290.6803,40.3823
9,3,1038,17,290.9337,41.1689
9,3,1038,1106,289.6043,40.5086
9,4,25,17,289.1038,38.9027
9,4,25,1106,290.3970,39.5682
9,4,535,550,289.3279,39.6981
9,4,1038,17,288.2880,39.8265
9,4,1038,1106,289.5910,40.5019
10,1,25,17,289.4794,38.4756
10,1,25,1106,290.7698,39.1354
10,1,535,550,290.5013,38.3285
10,1,1038,17,290.2605,37.5414
10,1,1038,1106,291.5422,38.1925
10,2,25,17,292.0982,39.7865
10,2,25,1106,290.7830,39.1419
10,2,535,550,291.8404,38.9971
10,2,1038,17,292.8602,38.8357
10,2,1038,1106,291.5553,38.1990
10,3,25,17,293.6649,37.7991
10,3,25,1106,292.3723,37.1711
