BJDTDB,RV,E_RV,S_VALUE
2459433.801306,152.97,12.29,0.7355
2459433.812255,100.5,13.23,0.7434
2459433.823354,134.84,12.36,0.7287
2459433.83413,101.73,11.24,0.7307
2459433.844998,75.62,12.23,0.7194
2459433.8559,79.33,12.18,0.7257
2459433.866606,3.82,13.19,0.7006
2459433.877821,30.17,12.52,0.6922
2459433.88862,39.98,12.04,0.6856
2459433.899719,-34.95,13.12,0.6723
2459433.910644,-3.62,12.58,0.6734
2459433.921547,-35.75,11.8,0.6767
2459433.932334,0.58,11.87,0.6731
2459433.943283,-39.07,12.8,0.6612
2459433.95429,-63.32,12.43,0.659
2459433.965123,-45.78,13.05,0.6494
2459433.975944,-148.19,12.41,0.6676
2459433.98709,-101.82,13.2,0.6478
2459433.997923,-57.55,12.91,0.6514
2459434.008838,-34.57,14.34,0.6612
2459434.020122,-81.55,13.17,0.6482
2459434.032853,-69.66,12.98,0.6583
