BJDTDB,FLUX,E_FLUX,BANDPASS
2459433.829202,0.99719,0.00091,g
2459433.829724,0.99753,0.00091,g
2459433.830253,0.99672,0.00091,g
2459433.83078,0.99712,0.0009,g
2459433.831303,0.99487,0.0009,g
2459433.831823,0.9966,0.0009,g
2459433.832349,0.99654,0.0009,g
2459433.832879,0.99578,0.0009,g
2459433.833402,0.9955,0.0009,g
2459433.833923,0.99547,0.0009,g
2459433.834448,0.99668,0.00091,g
2459433.834986,0.99676,0.00091,g
2459433.835507,0.99548,0.0009,g
2459433.836035,0.99548,0.0009,g
2459433.836562,0.99481,0.0009,g
2459433.837085,0.99554,0.00091,g
2459433.837607,0.99501,0.0009,g
2459433.838134,0.9972,0.00091,g
2459433.838655,0.99655,0.00091,g
2459433.839186,0.99676,0.0009,g
2459433.839706,0.99666,0.0009,g
2459433.840234,0.99673,0.0009,g
2459433.840756,0.99738,0.00091,g
2459433.841287,0.99783,0.00091,g
2459433.841809,0.99764,0.00091,g
2459433.842332,0.99692,0.00091,g
2459433.842861,0.99603,0.00091,g
2459433.843388,0.998,0.00091,g
2459433.843939,0.99797,0.00091,g
2459433.844467,0.997,0.00091,g
2459433.844989,0.99864,0.00091,g
2459433.845512,0.9987,0.00091,g
2459433.84604,0.99767,0.00091,g
2459433.846568,0.99724,0.00091,g
2459433.847091,0.99759,0.00091,g
2459433.847615,0.99768,0.00091,g
2459433.848139,0.99689,0.00091,g
2459433.848666,0.99798,0.00091,g
2459433.849195,0.99877,0.00091,g
2459433.849715,0.9987,0.00091,g
2459433.850241,0.9982,0.00091,g
2459433.850769,0.99686,0.00091,g
2459433.85129,0.99838,0.00091,g
2459433.851815,0.99796,0.00092,g
2459433.852385,0.99873,0.00091,g
2459433.852913,0.99701,0.00091,g
2459433.853433,0.99642,0.00091,g
2459433.853962,0.99742,0.00091,g
2459433.85449,0.99671,0.00091,g
2459433.855011,0.99878,0.00091,g
2459433.855539,0.99902,0.00091,g
2459433.856062,1.00115,0.00092,g
2459433.856587,0.9987,0.00091,g
2459433.857114,0.99628,0.00091,g
2459433.858165,0.99867,0.00092,g
2459433.858692,0.99721,0.00091,g
2459433.859219,0.99898,0.00092,g
2459433.85974,0.99787,0.00091,g
2459433.860266,0.99834,0.00091,g
2459433.86079,1.0001,0.00091,g
2459433.861315,1.0002,0.00092,g
2459433.861844,0.99989,0.00092,g
2459433.862363,0.99901,0.00092,g
2459433.862893,0.99937,0.00092,g
2459433.864991,0.99735,0.00092,g
2459433.865519,0.9994,0.00092,g
2459433.866043,0.99951,0.00092,g
2459433.86657,1.00001,0.00092,g
2459433.867089,1.0005,0.00091,g
2459433.867618,0.99869,0.00091,g
2459433.868144,0.99911,0.00092,g
2459433.868666,0.99874,0.00091,g
2459433.8692,0.99757,0.00091,g
2459433.869719,0.99901,0.00091,g
2459433.870245,0.99684,0.00091,g
2459433.870773,0.99867,0.00091,g
2459433.871298,0.99831,0.00091,g
2459433.87182,0.99969,0.00091,g
2459433.872348,1.00126,0.00091,g
2459433.872869,0.99781,0.00091,g
2459433.873393,1.00001,0.00091,g
2459433.873922,0.99799,0.00091,g
2459433.874448,0.99828,0.00091,g
2459433.874974,0.99948,0.00091,g
2459433.875493,0.9991,0.00091,g
2459433.876022,0.99788,0.00091,g
2459433.876544,0.99898,0.00091,g
2459433.87707,1.00121,0.00091,g
2459433.877598,0.99898,0.00091,g
2459433.878118,0.99813,0.00091,g
2459433.878645,0.99944,0.00092,g
2459433.87917,0.99837,0.00091,g
2459433.879696,0.99907,0.00091,g
2459433.880216,0.99889,0.00091,g
2459433.880748,1.00002,0.00091,g
2459433.881268,0.99869,0.00091,g
2459433.881793,0.99789,0.00091,g
2459433.882361,0.99911,0.00091,g
2459433.882889,0.99719,0.00091,g
2459433.883417,0.99781,0.00091,g
2459433.883944,0.99958,0.00092,g
2459433.884469,0.99987,0.00092,g
2459433.884993,0.99782,0.00092,g
2459433.885514,0.99833,0.00092,g
2459433.886042,0.99882,0.00092,g
2459433.886566,0.99961,0.00092,g
2459433.887092,1.00125,0.00092,g
2459433.887616,0.99796,0.00092,g
2459433.888137,0.99908,0.00092,g
2459433.888667,0.99926,0.00092,g
2459433.889192,1.00117,0.00092,g
2459433.88972,0.99983,0.00092,g
2459433.890245,0.99908,0.00092,g
2459433.89077,1.00066,0.00092,g
2459433.891296,1.00064,0.00092,g
2459433.89182,0.99864,0.00092,g
2459433.892345,0.9985,0.00092,g
2459433.89287,0.99843,0.00092,g
2459433.893397,0.99644,0.00092,g
2459433.893923,0.9981,0.00092,g
2459433.894445,0.9995,0.00092,g
2459433.894971,0.99901,0.00092,g
2459433.895492,0.99939,0.00092,g
2459433.89602,0.99941,0.00092,g
2459433.896546,0.99858,0.00092,g
2459433.897065,0.99947,0.00092,g
2459433.897591,0.99865,0.00092,g
2459433.898118,0.99852,0.00092,g
2459433.898647,1.00161,0.00092,g
2459433.899169,1.00069,0.00092,g
2459433.899697,0.99915,0.00092,g
2459433.900221,0.99882,0.00092,g
2459433.900745,0.99948,0.00092,g
2459433.901278,0.99904,0.00092,g
2459433.901802,1.0001,0.00092,g
2459433.902323,0.99772,0.00093,g
2459433.902847,1.00092,0.00093,g
2459433.903374,0.99805,0.00092,g
2459433.9039,0.99889,0.00092,g
2459433.904473,0.99912,0.00092,g
2459433.904998,1.00002,0.00092,g
2459433.905523,0.9993,0.00092,g
2459433.906042,0.99953,0.00092,g
2459433.906567,0.99836,0.00092,g
2459433.907092,0.99844,0.00092,g
2459433.907617,0.99943,0.00093,g
2459433.908143,0.99839,0.00093,g
2459433.908666,0.99993,0.00093,g
2459433.909193,0.99771,0.00092,g
2459433.909718,0.9993,0.00093,g
2459433.910242,0.99833,0.00092,g
2459433.910769,0.99815,0.00092,g
2459433.911296,0.9983,0.00092,g
2459433.911822,0.99735,0.00092,g
2459433.91234,0.99925,0.00092,g
2459433.912872,0.99842,0.00092,g
2459433.913397,1.00015,0.00093,g
2459433.913921,0.99888,0.00093,g
2459433.914446,0.99852,0.00093,g
2459433.914966,0.99908,0.00093,g
2459433.915495,1.00003,0.00093,g
2459433.916019,0.99746,0.00092,g
2459433.916545,1.00135,0.00093,g
2459433.91707,0.99979,0.00093,g
2459433.917595,0.99896,0.00093,g
2459433.91812,1.00102,0.00093,g
2459433.918642,0.99961,0.00093,g
2459433.919172,0.99904,0.00093,g
2459433.919692,0.99951,0.00093,g
2459433.92022,0.99975,0.00093,g
2459433.920746,0.99897,0.00093,g
2459433.92127,1.00006,0.00093,g
2459433.921792,0.99835,0.00093,g
2459433.922318,1.0004,0.00093,g
2459433.922844,0.99834,0.00093,g
2459433.923362,0.99972,0.00093,g
2459433.923895,1.00009,0.00093,g
2459433.924421,0.99923,0.00093,g
2459433.924945,0.99973,0.00093,g
2459433.925471,1.00006,0.00093,g
2459433.925996,1.00077,0.00093,g
2459433.926519,0.9992,0.00093,g
2459433.927051,1.00104,0.00093,g
2459433.927599,0.99919,0.00093,g
2459433.928123,1.00114,0.00093,g
