dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2127562009133684480,291.02306,46.43843,3.7099,0.981,0.087,2.78,-2.87,-8068.5,256.0,86.3,-0.115,0.442,CH-2,,,,0
2133166013742924672,290.16936,50.7656,3.8789,0.89,0.051,4.53,-2.61,-8087.8,245.0,93.3,0.65,3.745,CH-2,0.78,0.78,,0
2129870472456063744,291.90305,49.67067,3.5863,0.76,0.181,4.3,-2.78,-8082.1,266.5,92.4,0.734,4.178,CH-2,1.619,1.619,,0
2106471142730265856,286.26819,45.64278,3.5365,0.979,0.058,3.05,-2.61,-8056.9,262.8,102.4,0.908,5.116,CH-2,,,,0
2130029214447088640,290.84753,49.8426,3.5995,1.031,0.168,4.12,-3.07,-8081.8,264.6,95.4,1.048,5.473,CH-2,2.143,2.143,,0
2128840912955018368,293.94764,48.06526,3.7853,1.054,0.093,3.94,-2.12,-8079.9,254.0,80.1,1.105,5.68,CH-2,2.564,2.564,,0
2129719495765254272,291.99833,48.81763,3.6602,3.362,0.14,4.87,-3.23,-8079.3,261.1,89.0,1.285,6.058,CH-2,5.623,5.627,5.619,0
2130035639718206464,290.93438,49.94121,3.635,1.01,0.133,4.29,-2.94,-8082.7,262.1,94.6,1.379,6.371,CH-2,1.577,1.576,1.577,0
2106235301785454208,286.74853,45.15872,3.6598,0.998,0.043,2.39,-2.41,-8057.4,254.2,97.3,1.55,6.976,CH-2,3.366,3.344,3.388,1
2106235301785453824,286.74756,45.15802,3.6669,1.147,0.042,2.09,-2.88,-8057.5,253.7,97.2,1.812,7.495,CH-2,3.367,3.346,3.388,1
2127785313075229184,289.36144,46.89237,3.5837,1.04,0.133,3.01,-2.69,-8066.7,263.4,94.3,1.859,7.446,CH-2,2.685,2.682,2.687,0
2129930258400157440,291.33504,49.15594,3.9945,0.942,0.031,4.19,-2.39,-8083.5,238.7,85.6,1.888,8.167,CH-2,15.309,,15.309,0
2129417404945830784,290.12923,48.2085,3.5671,0.991,0.174,3.57,-2.88,-8073.2,265.9,94.9,2.018,7.785,CH-2,10.982,10.98,10.983,0
2107169165113864064,285.11538,45.78504,3.996,1.05,0.001,2.56,-1.64,-8063.9,231.4,96.3,2.036,7.968,CH-2,10.58,10.58,,0
2106508496064940544,285.54396,45.73121,3.5316,1.077,0.047,2.72,-3.13,-8056.4,262.3,104.8,2.281,8.066,CH-2,4.969,4.969,,0
2130135592196632192,290.9828,50.26155,3.6758,0.995,0.149,4.41,-2.68,-8084.6,259.3,94.2,2.294,8.383,CH-2,2.808,2.807,2.808,0
2134851775526125696,296.00384,49.08662,3.7509,2.683,0.076,4.0,-1.76,-8086.4,258.1,77.2,2.303,8.19,CH-2,12.228,1.919,12.228,0
2127726081184588160,289.65564,46.61034,3.5423,1.032,0.133,2.95,-3.04,-8065.1,266.7,93.8,2.322,8.488,CH-2,11.543,11.421,11.666,0
2133055723280822016,290.21206,50.30541,3.6158,1.638,0.14,4.61,-2.67,-8083.3,262.9,97.6,2.436,7.682,CH-2,4.368,4.368,,0
2133330051428541952,288.22611,51.02758,3.9572,1.035,0.026,4.72,-3.1,-8087.7,238.5,97.1,2.475,9.427,CH-2,15.689,,15.689,0
2126529468937923456,292.91309,45.38562,3.7904,0.945,0.06,3.62,-3.45,-8067.6,251.9,77.5,2.489,9.806,CH-2,,,,0
2139556207822524416,289.31533,52.96912,3.855,1.741,0.035,5.09,-2.7,-8096.0,245.8,99.5,2.564,8.157,CH-2,0.618,0.618,,0
2133510921093964928,288.3215,51.7504,3.9984,1.058,0.013,5.24,-1.72,-8091.1,236.1,97.2,2.694,10.892,CH-2,,,,0
2126008609657702784,291.17321,43.13471,3.9928,1.042,0.005,4.7,-3.5,-8059.4,236.3,75.2,2.713,11.371,CH-2,,,,0
2139369183468814464,290.79757,52.34213,3.8986,1.046,0.023,6.0,-1.67,-8095.1,244.3,94.1,2.901,11.14,CH-2,,,,0
2135947060905910528,293.06345,50.74431,3.5891,1.064,0.162,4.67,-2.76,-8088.3,267.4,91.3,2.927,9.973,CH-2,,,,0
2129891534975864064,292.22881,49.87073,3.9714,1.034,0.031,4.45,-2.05,-8087.1,241.0,85.0,2.934,9.923,CH-2,,,,0
2128941144612685184,293.97718,48.34345,3.6833,1.009,0.123,4.27,-2.51,-8080.0,261.1,82.2,3.034,9.195,CH-2,0.694,,0.694,0
2129395272975899904,290.64674,47.9067,3.6401,0.988,0.131,3.41,-2.82,-8073.5,261.0,91.4,3.045,10.484,CH-2,,,,0
2135812538230262016,295.59904,52.46613,3.784,1.047,0.044,5.51,-2.38,-8100.2,255.5,84.7,3.071,9.819,CH-2,,,,0
2139278748636772224,290.62591,52.31557,3.766,1.0,0.067,4.9,-2.66,-8093.9,252.8,97.0,3.077,10.796,CH-2,,,,0
2136160297441345792,292.39422,51.24433,3.8955,1.023,0.036,5.04,-1.87,-8092.2,245.9,88.3,3.083,10.486,CH-2,,,,0
2130026942405777664,290.82952,49.76271,3.5996,1.025,0.163,4.65,-3.05,-8081.4,264.5,95.3,3.103,10.235,CH-2,,,,0
2130909231769499648,289.00781,47.55733,4.0202,1.102,0.021,2.27,-2.05,-8075.0,234.7,88.4,3.299,11.741,CH-2,,,,0
2107132155378666112,284.99718,45.31313,3.6863,0.939,0.031,4.16,-3.3,-8056.8,250.4,102.2,3.326,11.417,CH-2,,,,0
2136561408730121472,294.15428,52.5157,3.8967,1.033,0.022,5.21,-1.87,-8099.4,247.1,86.4,3.342,10.948,CH-2,,,,0
2135433107939367040,296.63643,50.85392,3.7661,0.964,0.045,5.14,-1.69,-8094.7,257.6,79.1,3.486,11.025,CH-2,,,,0
2082008971824158720,302.13662,44.82768,2.9149,0.927,0.361,4.58,-3.24,-8066.0,336.3,59.4,-0.422,11.039,RSG-5,,,,0
2081986328756022144,302.539,45.01673,2.8651,1.146,0.291,4.52,-3.04,-8066.9,342.5,59.3,-0.214,-0.059,RSG-5,,,,0
2081738698122520832,303.82168,45.74104,2.9535,0.922,0.676,5.41,-3.43,-8075.0,333.4,56.0,-0.197,-0.671,RSG-5,,,,0
2082384317605663488,302.74675,45.60107,2.9891,1.11,0.552,5.35,-3.51,-8072.5,328.7,58.8,-0.137,0.637,RSG-5,,,,0
2081646132986902528,303.61977,45.62058,2.895,0.965,0.428,4.51,-3.39,-8073.0,340.0,57.0,-0.136,0.534,RSG-5,,,,0
2080810675946926080,304.21852,42.87107,2.9374,0.934,0.192,5.32,-3.64,-8061.5,334.1,45.4,-0.103,0.903,RSG-5,,,,0
