dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2073765172933035008,2073765172933035008,5641711,297.40986,40.89719,0.041,-0.51,-8.23,-8035.4,331.4,65.3,0.298,0.002
2073892308274949120,2073892308274949120,6065960,298.03137,41.33902,0.05,1.41,-0.87,-8036.0,344.3,65.8,0.036,-0.015
2073771460762296192,2073771460762296192,5213142,298.06531,40.37501,0.082,1.92,-3.62,-8031.9,340.0,62.2,0.066,-0.004
2073631105539157504,2073631105539157504,4585976,297.38494,39.61029,0.079,1.0,-7.82,-8037.0,301.0,58.0,0.08,-0.009
2073635847183278848,2073635847183278848,4679850,297.61286,39.73935,0.05,5.84,-6.45,-8031.5,324.8,60.4,0.017,-0.013
2073546236994620288,2073546236994620288,5217688,298.92679,40.32979,0.05,4.4,-1.52,-8044.3,299.4,54.0,0.05,-0.019
2073677800425252352,2073677800425252352,5212823,297.99896,40.35737,0.074,3.84,-1.89,-8035.1,327.0,60.8,0.046,-0.018
2073682404629778944,2073682404629778944,5123323,297.67434,40.24008,0.056,5.43,-4.71,-8043.7,289.9,57.2,0.025,-0.015
2073685771884589440,2073685771884589440,5123097,297.62337,40.28473,0.063,0.72,-2.59,-8034.9,323.1,61.6,0.026,-0.002
2073574235871755136,2073574235871755136,5039033,298.32594,40.12819,0.082,5.6,-5.11,-8035.6,323.6,58.5,0.052,-0.014
2073831491536527872,2073831491536527872,5903003,298.59593,41.19896,0.075,0.09,-4.98,-8041.9,323.2,60.4,0.012,0.007
2073837229612862464,2073837229612862464,6067817,298.4787,41.39261,0.069,-0.43,-5.22,-8043.9,318.1,60.8,0.062,0.005
2073598085842244096,2073598085842244096,5391520,298.83031,40.50742,0.063,-0.42,-4.58,-8038.1,326.0,57.8,0.03,-0.004
2099735298280416384,2099735298280416384,4144893,288.04526,39.20307,0.03,3.69,-0.68,-8018.8,291.4,92.2,0.041,-0.01
2099740658399587328,2099740658399587328,4249702,287.88548,39.32369,0.2,-1.34,-2.9,-8013.5,307.4,97.1,0.085,-0.017
2099741551752820480,2099741551752820480,4249749,287.90233,39.39767,0.232,-2.11,-4.75,-8012.0,312.9,98.5,0.062,-0.026
2099091259345916800,2099091259345916800,2283541,286.16996,37.6018,0.054,-1.87,-6.77,-8015.1,269.7,91.4,0.042,-0.007
2099757288513455232,2099757288513455232,4352328,287.77204,39.49084,0.236,-1.4,-4.14,-8003.8,337.2,105.4,0.018,-0.012
2099779553623847680,2099779553623847680,4644174,288.54441,39.79932,0.262,-0.92,-3.56,-8009.9,329.7,100.6,0.09,-0.008
2099133865420292992,2099133865420292992,2557430,286.84536,37.81592,0.034,0.09,-9.66,-8001.4,311.2,99.6,0.209,-0.004
2099155752573830016,2099155752573830016,2558273,287.10349,37.89413,0.042,-1.01,-9.76,-8001.6,313.1,99.1,0.035,-0.001
2099497460172538752,2099497460172538752,3946190,289.1312,39.02353,0.152,-1.15,-4.29,-8017.2,299.2,89.1,0.029,0.009
2099187088655077760,2099187088655077760,2834805,286.70146,38.04221,0.063,1.07,-3.2,-7985.8,354.4,111.8,0.063,-0.007
2099188978440310528,2099188978440310528,2555680,286.27803,37.81445,0.253,-2.34,-3.83,-7991.3,333.8,108.2,0.004,0.001
2099192822430193664,2099192822430193664,2694337,286.28588,37.90966,0.171,-1.61,-4.07,-8005.6,298.7,99.1,0.037,0.002
2099537764145002880,2099537764145002880,3222369,287.74997,38.38805,0.277,-1.74,-3.61,-8002.3,322.7,99.5,0.091,0.004
2099555459409402624,2099555459409402624,3430868,287.61255,38.56163,0.13,-1.05,-6.66,-8004.5,318.7,99.5,0.121,0.012
2099618131572631680,2099618131572631680,3733157,287.04503,38.80779,0.171,-3.98,-2.64,-8001.1,328.5,105.2,0.063,-0.009
2099643935736477696,2099643935736477696,4044261,287.72055,39.13751,0.021,-2.81,-10.24,-7998.5,345.5,106.9,0.039,-0.014
2099644446834259584,2099644446834259584,4044353,287.75348,39.17089,0.098,-4.57,-6.47,-8003.6,332.2,103.5,0.081,0.006
