dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2073765172933035008,2073765172933035008,5641711,297.4099,40.8972,0.0409,-0.5061,-8.2328,-8035.42,331.44,65.32,0.298,0.002
2073892308274949120,2073892308274949120,6065960,298.0314,41.339,0.04952,1.4136,-0.8715,-8036.03,344.34,65.76,0.036,-0.015
2073771460762296192,2073771460762296192,5213142,298.0653,40.375,0.08193,1.9223,-3.6193,-8031.87,340.04,62.21,0.066,-0.004
2073631105539157504,2073631105539157504,4585976,297.3849,39.6103,0.07884,1.0021,-7.8194,-8036.96,301.03,57.99,0.08,-0.009
2073635847183278848,2073635847183278848,4679850,297.6129,39.7394,0.04996,5.8362,-6.4464,-8031.49,324.77,60.36,0.017,-0.013
2073546236994620288,2073546236994620288,5217688,298.9268,40.3298,0.04976,4.4018,-1.5152,-8044.29,299.44,54.0,0.05,-0.019
2073677800425252352,2073677800425252352,5212823,297.999,40.3574,0.0742,3.8374,-1.8903,-8035.09,326.97,60.83,0.046,-0.018
2073682404629778944,2073682404629778944,5123323,297.6743,40.2401,0.05568,5.4302,-4.7128,-8043.7,289.93,57.16,0.025,-0.015
2073685771884589440,2073685771884589440,5123097,297.6234,40.2847,0.06283,0.7165,-2.5945,-8034.87,323.07,61.64,0.026,-0.002
2073574235871755136,2073574235871755136,5039033,298.3259,40.1282,0.08155,5.5958,-5.1098,-8035.55,323.59,58.47,0.052,-0.014
2073831491536527872,2073831491536527872,5903003,298.5959,41.199,0.07517,0.0945,-4.9813,-8041.86,323.24,60.41,0.012,0.007
2073837229612862464,2073837229612862464,6067817,298.4787,41.3926,0.06938,-0.4285,-5.2244,-8043.85,318.13,60.78,0.062,0.005
2073598085842244096,2073598085842244096,5391520,298.8303,40.5074,0.06264,-0.419,-4.5762,-8038.11,325.95,57.83,0.03,-0.004
2099735298280416384,2099735298280416384,4144893,288.0453,39.2031,0.02999,3.6946,-0.6834,-8018.81,291.44,92.21,0.041,-0.01
2099740658399587328,2099740658399587328,4249702,287.8855,39.3237,0.20047,-1.3363,-2.8985,-8013.51,307.42,97.07,0.085,-0.017
2099741551752820480,2099741551752820480,4249749,287.9023,39.3977,0.23236,-2.1112,-4.7529,-8012.04,312.89,98.51,0.062,-0.026
2099091259345916800,2099091259345916800,2283541,286.17,37.6018,0.05354,-1.8731,-6.7728,-8015.12,269.68,91.44,0.042,-0.007
2099757288513455232,2099757288513455232,4352328,287.772,39.4908,0.23643,-1.3997,-4.1394,-8003.78,337.23,105.39,0.018,-0.012
2099779553623847680,2099779553623847680,4644174,288.5444,39.7993,0.26173,-0.9197,-3.5618,-8009.91,329.71,100.59,0.09,-0.008
2099133865420292992,2099133865420292992,2557430,286.8454,37.8159,0.03449,0.0924,-9.6642,-8001.35,311.16,99.6,0.209,-0.004
2099155752573830016,2099155752573830016,2558273,287.1035,37.8941,0.04236,-1.0143,-9.7583,-8001.6,313.11,99.06,0.035,-0.001
2099497460172538752,2099497460172538752,3946190,289.1312,39.0235,0.15214,-1.1496,-4.2921,-8017.22,299.21,89.15,0.029,0.009
2099187088655077760,2099187088655077760,2834805,286.7015,38.0422,0.06316,1.0661,-3.2037,-7985.75,354.42,111.83,0.063,-0.007
2099188978440310528,2099188978440310528,2555680,286.278,37.8145,0.25262,-2.3355,-3.8254,-7991.29,333.84,108.16,0.004,0.001
2099192822430193664,2099192822430193664,2694337,286.2859,37.9097,0.17072,-1.6075,-4.0715,-8005.59,298.71,99.11,0.037,0.002
2099537764145002880,2099537764145002880,3222369,287.75,38.3881,0.27732,-1.7367,-3.6111,-8002.28,322.68,99.46,0.091,0.004
2099555459409402624,2099555459409402624,3430868,287.6126,38.5616,0.13048,-1.0465,-6.6638,-8004.48,318.72,99.5,0.121,0.012
2099618131572631680,2099618131572631680,3733157,287.045,38.8078,0.17125,-3.9759,-2.6396,-8001.14,328.54,105.16,0.063,-0.009
2099643935736477696,2099643935736477696,4044261,287.7205,39.1375,0.02053,-2.8074,-10.2447,-7998.54,345.46,106.89,0.039,-0.014
2099644446834259584,2099644446834259584,4044353,287.7535,39.1709,0.09814,-4.5702,-6.4671,-8003.56,332.19,103.5,0.081,0.006
2099646856314081024,2099646856314081024,3941219,287.406,39.0209,0.16299,-3.5453,-5.4192,-8000.66,335.59,105.69,0.029,-0.0
2099648368142589568,2099648368142589568,3941283,287.4321,39.046,0.30443,-1.7911,-3.8387,-8007.52,317.17,100.97,0.034,0.002
2080065134037830400,2080065138342687872,9351053,295.1581,45.8436,0.09096,4.5116,-3.1906,-8059.2,321.71,85.83,0.032,-0.001
2080091732779239168,2080091732779239168,9596155,294.9818,46.2545,0.05526,3.4291,1.1059,-8068.77,280.8,79.05,0.641,-0.029
2080333728416384128,2080333728416384128,9782810,296.5431,46.5312,0.09985,3.5912,-5.9431,-8066.3,316.9,81.59,0.125,0.005
2080175085205622656,2080175085205622656,9166700,296.3381,45.5451,0.04165,4.9649,1.1614,-8064.48,298.14,76.27,0.021,0.002
2079893786325177088,2079893786325177088,8631500,294.3892,44.7487,0.09983,2.1426,-3.4924,-8051.86,321.95,86.01,0.097,-0.008
2079903029095005696,2079903029096889856,8760485,294.5029,44.988,0.04222,8.3007,-4.0125,-8059.25,294.29,80.56,0.076,-0.014
2080468964046179328,2080468964046179328,9839872,295.3637,46.6835,0.03914,7.0609,-0.9673,-8062.49,330.06,88.95,0.062,-0.009
2079663369921674624,2079663369921674624,8570134,295.5734,44.6007,0.03183,1.5667,-2.9086,-8046.99,352.15,86.75,0.036,-0.013
2080265455615773312,2080265455615773312,9602418,297.0944,46.2504,0.07261,2.6713,-0.7517,-8064.97,322.36,79.89,0.08,-0.011
2079682022958914176,2079682022958914176,8444309,296.5371,44.4562,0.06634,7.1604,-2.6656,-8053.46,327.52,78.04,0.037,-0.007
2079686494024860032,2079686494024860032,8508291,296.3934,44.5701,0.07207,6.3751,-2.0675,-8058.78,303.44,74.63,0.019,-0.011
2079697935817658880,2079697935817658880,8508009,296.317,44.5293,0.06891,2.8035,-1.3725,-8063.11,281.1,70.83,0.009,-0.004
2080536931908027392,2080536931908027392,10023062,296.2289,46.9635,0.10971,4.8296,-1.1959,-8070.13,303.91,81.25,0.069,0.001
2079721742816443008,2079721742816443008,8766982,296.6551,44.9647,0.09357,5.2491,-1.9098,-8060.67,306.17,75.18,0.079,-0.007
2125856361663343232,2125856361663343232,7448057,292.7672,43.0986,0.03034,6.373,-3.3507,-8037.48,330.84,90.18,0.084,-0.031
2126234520642176640,2126234520642176640,8429170,291.2194,44.4715,0.1156,1.4308,-3.9957,-8046.46,312.95,95.67,0.019,-0.013
2126351588572776064,2126351588572776064,8234825,292.3651,44.1123,0.02367,6.4898,0.7903,-8058.9,262.06,79.07,0.017,-0.015
2126363408322823936,2126363408322823936,8366870,292.3174,44.3339,0.03794,3.963,-9.0043,-8053.14,290.17,85.97,0.015,-0.013
2125710985610039808,2125710985610039808,6780052,292.6289,42.2246,0.03043,1.5759,-6.6959,-8049.49,267.34,75.56,0.01,-0.015
2125788428159994368,2125788428159994368,7032968,291.5863,42.5099,0.03958,-1.3446,0.3487,-8041.19,296.15,86.05,0.067,-0.005
2126145052183993344,2126145052183993344,8027456,291.316,43.8593,0.11828,1.902,-3.1442,-8046.94,298.66,90.57,0.022,0.006
2126169993053537024,2126169993053537024,8233504,291.8579,44.1653,0.09682,1.2301,-5.485,-8044.94,317.27,93.47,0.045,-0.004
2100663595331153920,2100663595331153920,4819564,286.3555,39.9181,0.10527,-1.2132,-3.5851,-7997.69,353.54,117.63,0.125,-0.022
2100218568000743680,2100218568000743680,4136285,284.8012,39.2173,0.04453,-1.1927,0.4286,-8017.95,277.88,102.04,0.02,0.011
2100711046130108544,2100711046130108544,5171232,286.5129,40.3596,0.34058,-0.9982,-3.2022,-8009.98,327.09,110.55,0.053,-0.011
2101088900175248000,2101088900175248000,4649635,290.1933,39.758,0.04424,4.0145,-3.7127,-8012.22,332.71,93.62,0.042,-0.01
2101092091333095936,2101092091333095936,4649476,290.1496,39.7838,0.06724,2.393,-1.905,-8015.91,321.71,91.46,0.028,0.008
2100727882401602944,2100727882401602944,4994506,286.0319,40.1417,0.29513,-0.8695,-3.6269,-8005.22,334.18,114.35,0.054,-0.005
2099866243243441152,2099866243243441152,2831943,285.79,38.0279,0.06498,1.8899,-0.8282,-7991.34,334.41,111.2,0.086,-0.016
2100302680639307904,2100302680639307904,4137413,285.1495,39.2978,0.32411,-0.7555,-2.1226,-8005.64,313.86,111.08,0.535,-0.029
2101462562329928704,2101462562329928704,5869314,289.5467,41.1801,0.03079,4.9909,-1.5872,-8030.17,297.33,91.48,0.048,-0.016
2101469021961212544,2101469021961212544,6117832,289.9893,41.4367,0.05208,2.577,-3.6397,-8017.45,346.75,101.79,0.089,-0.018
2100344462081547904,2100344462081547904,4636938,285.5923,39.7915,0.18631,0.5011,-0.9781,-8006.48,322.05,112.31,0.078,-0.001
2099929151623465728,2099929151623465728,3096453,285.3642,38.2814,0.07285,-0.9969,-5.8489,-7983.91,355.3,119.67,0.057,-0.005
2099934339943954176,2099934339943954176,3215845,285.2883,38.396,0.27736,-2.976,-4.4379,-8000.97,312.74,108.4,0.017,-0.009
2100367757983349760,2100367757983349760,3631048,286.8129,38.7879,0.311,-1.3347,-4.5721,-8002.43,323.39,104.89,0.049,-0.023
2100375523284267648,2100375523284267648,3836772,287.0685,38.9451,0.2504,-2.6577,-2.6244,-8005.15,319.99,103.15,0.034,-0.009
2099956678074032512,2099956678074032512,3218637,286.382,38.3354,0.21245,-2.436,-3.1397,-8005.48,305.79,101.36,0.039,0.0
2101503175541042048,2101503175541042048,5360976,291.3547,40.53,0.06186,2.9281,-5.9789,-8035.95,278.75,79.0,0.098,-0.017
2100395035319632256,2100395035319632256,4142137,286.9893,39.2128,0.38471,-1.5382,-3.9106,-8006.28,320.81,104.28,0.136,-0.02
2100010519784766080,2100010519784766080,3731563,286.4259,38.8571,0.1862,-1.7466,-3.4609,-7993.03,347.68,113.33,0.048,0.005
