dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2127562009133684480,291.0231,46.4384,3.7099,0.981,0.08704,2.7793,-2.8675,-8068.52,255.96,86.25,-0.115,0.442,CH-2,,,,0
2133166013742924672,290.1694,50.7656,3.8789,0.89,0.05115,4.5301,-2.6096,-8087.8,245.03,93.3,0.65,3.745,CH-2,0.78,0.78,,0
2129870472456063744,291.903,49.6707,3.5863,0.76,0.18119,4.3013,-2.7765,-8082.09,266.53,92.38,0.734,4.178,CH-2,1.619,1.619,,0
2106471142730265856,286.2682,45.6428,3.5365,0.979,0.05758,3.0542,-2.6102,-8056.87,262.8,102.36,0.908,5.116,CH-2,,,,0
2130029214447088640,290.8475,49.8426,3.5995,1.031,0.16838,4.1156,-3.0692,-8081.77,264.59,95.36,1.048,5.473,CH-2,2.143,2.143,,0
2128840912955018368,293.9476,48.0653,3.7853,1.054,0.09259,3.9417,-2.1241,-8079.91,253.98,80.09,1.105,5.68,CH-2,2.564,2.564,,0
2129719495765254272,291.9983,48.8176,3.6602,3.362,0.14015,4.8737,-3.2275,-8079.29,261.09,89.02,1.285,6.058,CH-2,5.623,5.627,5.619,0
2130035639718206464,290.9344,49.9412,3.635,1.01,0.13252,4.2911,-2.9391,-8082.7,262.1,94.58,1.379,6.371,CH-2,1.577,1.576,1.577,0
2106235301785454208,286.7485,45.1587,3.6598,0.998,0.04308,2.3919,-2.4099,-8057.42,254.23,97.35,1.55,6.976,CH-2,3.366,3.344,3.388,1
2106235301785453824,286.7476,45.158,3.6669,1.147,0.04162,2.0861,-2.8849,-8057.54,253.73,97.2,1.812,7.495,CH-2,3.367,3.346,3.388,1
2127785313075229184,289.3614,46.8924,3.5837,1.04,0.13343,3.014,-2.6858,-8066.69,263.44,94.33,1.859,7.446,CH-2,2.685,2.682,2.687,0
2129930258400157440,291.335,49.1559,3.9945,0.942,0.03129,4.1894,-2.3886,-8083.5,238.73,85.58,1.888,8.167,CH-2,15.309,,15.309,0
2129417404945830784,290.1292,48.2085,3.5671,0.991,0.17431,3.5745,-2.8772,-8073.23,265.93,94.94,2.018,7.785,CH-2,10.982,10.98,10.983,0
2107169165113864064,285.1154,45.785,3.996,1.05,0.00102,2.5641,-1.6383,-8063.91,231.41,96.32,2.036,7.968,CH-2,10.58,10.58,,0
2106508496064940544,285.544,45.7312,3.5316,1.077,0.04657,2.717,-3.1257,-8056.45,262.33,104.85,2.281,8.066,CH-2,4.969,4.969,,0
2130135592196632192,290.9828,50.2616,3.6758,0.995,0.14934,4.4118,-2.6813,-8084.59,259.27,94.22,2.294,8.383,CH-2,2.808,2.807,2.808,0
2134851775526125696,296.0038,49.0866,3.7509,2.683,0.07582,3.9978,-1.7638,-8086.44,258.13,77.24,2.303,8.19,CH-2,12.228,1.919,12.228,0
